area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,264.1,249.6,267.8,271.9,268.0
Toronto W02,296.0,283.4,314.1,276.7,306.5
Toronto W03,302.4,304.5,297.2,267.5,303.3
Toronto W04,275.4,264.0,255.4,247.2,295.1
Toronto W05,265.2,264.3,242.1,253.0,295.4
Toronto W06,234.3,284.8,237.9,294.8,206.9
Toronto W07,243.7,256.4,230.2,-,168.2
Toronto W08,238.1,220.0,224.6,265.8,250.0
Toronto W09,259.7,245.0,217.1,293.3,270.8
Toronto W10,275.1,267.6,276.5,247.1,286.8
Toronto C01,324.1,320.2,303.8,285.6,326.7
Toronto C02,282.7,251.2,284.4,269.6,285.8
Toronto C03,310.9,291.8,311.7,-,339.5
Toronto C04,247.8,246.7,251.2,-,245.5
Toronto C06,288.9,263.3,231.2,260.5,311.7
Toronto C07,266.8,292.3,205.8,260.7,256.0
Toronto C08,292.8,288.0,282.7,296.3,293.2
Toronto C09,198.2,145.8,159.0,295.4,227.2
Toronto C10,287.3,267.0,253.4,278.3,298.6
Toronto C11,283.8,213.8,246.2,228.1,336.9
Toronto C12,222.7,204.3,263.9,201.2,279.8
Toronto C13,258.2,247.4,226.0,242.4,268.1
Toronto C14,282.6,265.0,213.3,311.1,283.6
Toronto C15,256.5,283.3,232.8,275.9,247.0
Toronto E01,356.7,342.7,353.3,418.6,353.4
Toronto E02,296.8,254.2,313.6,343.1,275.1
Toronto E03,280.7,287.0,264.4,-,278.2
Toronto E04,288.1,268.6,282.8,265.3,328.8
Toronto E05,264.7,267.6,256.9,268.4,261.1
Toronto E06,278.1,278.7,277.0,-,270.9
Toronto E07,287.8,280.6,269.1,278.2,297.4
Toronto E08,283.4,264.3,234.3,287.1,318.7
Toronto E09,279.1,269.2,261.6,306.5,285.8
Toronto E10,277.2,259.9,258.7,326.8,291.3
Toronto E11,288.1,283.3,286.4,232.9,336.8
