area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,266.1,345.6,343.9,303.7,325.3
Toronto W02,379.6,410.2,438.6,375.6,370.3
Toronto W03,400.2,392.4,400.1,378.5,380.3
Toronto W04,367.4,360.1,349.6,313.9,476.2
Toronto W05,384.6,337.7,329.2,362.1,509.0
Toronto W06,344.7,410.0,396.0,383.0,312.1
Toronto W07,321.0,343.4,336.2,415.9,138.8
Toronto W08,262.0,319.8,341.3,326.7,301.6
Toronto W09,352.8,337.2,367.6,300.0,396.4
Toronto W10,381.0,356.7,352.7,419.8,461.8
Toronto C01,344.1,432.7,400.4,367.0,366.7
Toronto C02,333.3,337.9,353.1,283.4,309.0
Toronto C03,288.7,307.7,424.1,-,308.2
Toronto C04,317.5,344.0,375.4,-,311.8
Toronto C06,290.7,432.1,336.3,310.0,388.7
Toronto C07,303.8,503.8,362.9,293.0,335.9
Toronto C08,319.8,371.1,393.6,372.6,348.8
Toronto C09,284.8,270.4,293.8,297.3,311.9
Toronto C10,297.5,372.1,359.5,264.1,298.2
Toronto C11,357.9,323.9,334.1,461.9,372.4
Toronto C12,348.3,334.1,315.9,355.8,396.6
Toronto C13,308.1,351.5,348.1,411.2,307.7
Toronto C14,377.0,393.0,349.6,394.4,357.3
Toronto C15,315.1,422.4,341.1,397.9,345.2
Toronto E01,435.5,467.6,459.7,535.5,389.5
Toronto E02,425.7,432.4,423.5,438.1,370.5
Toronto E03,388.7,362.8,394.9,-,412.5
Toronto E04,441.5,422.0,395.6,385.0,441.3
Toronto E05,352.0,397.3,389.4,372.7,359.9
Toronto E06,414.6,433.4,426.1,397.4,402.9
Toronto E07,381.4,397.2,405.9,413.6,386.7
Toronto E08,374.9,377.5,366.8,389.4,380.3
Toronto E09,448.4,427.9,390.9,406.7,439.6
Toronto E10,374.1,382.6,363.5,414.7,298.9
Toronto E11,393.9,385.4,427.7,436.4,465.3
