area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,295.9,395.9,396.8,348.2,347.3
Toronto W02,412.2,439.1,472.6,425.9,404.0
Toronto W03,437.8,423.5,442.8,419.9,415.5
Toronto W04,394.6,378.0,378.3,354.5,541.9
Toronto W05,421.5,358.0,350.3,400.9,638.1
Toronto W06,358.5,406.8,389.3,421.0,338.3
Toronto W07,322.8,339.9,331.6,459.6,146.1
Toronto W08,274.2,330.0,348.6,362.5,326.2
Toronto W09,359.5,333.5,393.1,338.2,433.1
Toronto W10,415.8,390.3,412.8,467.5,511.0
Toronto C01,356.7,428.3,399.7,401.8,382.4
Toronto C02,355.6,356.5,374.9,335.3,327.3
Toronto C03,310.3,321.8,459.4,-,343.4
Toronto C04,339.8,361.9,413.9,-,350.2
Toronto C06,317.1,461.8,363.1,365.8,431.3
Toronto C07,323.1,519.7,360.5,340.2,373.5
Toronto C08,333.9,396.0,421.1,416.8,361.0
Toronto C09,283.4,257.4,275.4,331.6,344.2
Toronto C10,324.0,395.6,379.6,299.1,324.7
Toronto C11,354.3,314.0,323.2,487.2,409.0
Toronto C12,376.7,363.4,317.4,385.9,448.5
Toronto C13,321.9,362.5,356.6,453.6,330.9
Toronto C14,378.5,377.2,329.5,434.0,375.4
Toronto C15,320.4,413.2,324.9,419.4,378.3
Toronto E01,464.3,497.7,487.6,592.9,410.7
Toronto E02,468.3,474.5,461.2,483.5,401.8
Toronto E03,414.1,386.4,415.9,-,446.3
Toronto E04,449.6,410.6,414.7,434.3,495.6
Toronto E05,365.4,398.7,391.8,390.5,389.5
Toronto E06,427.6,443.2,450.0,445.0,443.3
Toronto E07,390.0,390.3,400.0,444.7,434.7
Toronto E08,392.6,376.2,385.2,430.9,462.8
Toronto E09,463.2,421.1,393.2,420.4,503.5
Toronto E10,376.8,383.1,374.8,396.6,343.5
Toronto E11,409.9,388.8,442.1,464.6,520.8
