area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,392.1,404.6,427.0,351.6,380.9
Toronto W02,455.5,424.2,475.6,499.3,445.1
Toronto W03,461.3,468.0,470.8,366.1,448.9
Toronto W04,425.4,405.9,409.5,376.3,456.5
Toronto W05,403.7,406.2,392.3,388.7,426.2
Toronto W06,360.1,453.2,410.7,441.4,299.9
Toronto W07,372.4,401.4,391.6,293.0,219.3
Toronto W08,361.7,367.5,399.8,418.2,347.1
Toronto W09,402.5,394.7,420.1,320.6,433.2
Toronto W10,475.1,431.8,424.2,516.2,513.9
Toronto C01,421.8,458.3,449.9,415.1,418.8
Toronto C02,383.1,368.5,383.0,367.4,381.5
Toronto C03,444.1,418.0,436.7,-,497.7
Toronto C04,365.5,376.2,392.6,-,317.3
Toronto C06,397.1,393.7,376.0,363.8,402.2
Toronto C07,413.4,425.2,352.5,364.8,416.2
Toronto C08,383.2,372.0,387.3,391.2,382.8
Toronto C09,321.3,332.5,332.4,359.7,304.1
Toronto C10,407.1,371.7,371.7,349.2,425.8
Toronto C11,445.1,404.5,432.4,380.4,470.6
Toronto C12,350.9,340.0,414.1,296.7,414.8
Toronto C13,398.5,386.7,380.8,356.4,410.1
Toronto C14,406.5,422.9,356.4,461.5,396.5
Toronto C15,423.5,406.5,359.7,413.3,437.7
Toronto E01,482.0,485.5,495.4,587.9,395.2
Toronto E02,444.3,386.5,463.2,454.1,425.8
Toronto E03,438.7,440.7,421.4,-,455.2
Toronto E04,447.3,427.7,447.4,407.3,504.0
Toronto E05,394.3,427.0,425.7,404.9,347.7
Toronto E06,448.3,453.6,453.4,433.4,418.3
Toronto E07,450.6,453.6,444.2,408.4,456.4
Toronto E08,451.0,434.2,391.3,434.7,483.5
Toronto E09,450.4,445.2,422.8,490.8,452.5
Toronto E10,466.7,448.6,454.1,540.0,425.9
Toronto E11,467.6,454.8,462.8,383.1,583.7
