area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,172,180,193,228,147
Toronto W02,202,207,233,166,145
Toronto W03,206,209,214,-,147
Toronto W04,178,186,186,159,154
Toronto W05,168,183,169,168,140
Toronto W06,161,203,168,189,124
Toronto W07,178,187,174,127,115
Toronto W08,160,173,171,152,146
Toronto W09,170,187,168,181,137
Toronto W10,165,179,175,156,142
Toronto C01,195,200,221,183,190
Toronto C02,199,186,214,195,192
Toronto C03,212,206,220,-,215
Toronto C04,192,196,198,169,167
Toronto C06,199,208,183,-,187
Toronto C07,186,227,182,164,154
Toronto C08,179,158,194,175,179
Toronto C09,143,134,156,165,148
Toronto C10,208,205,209,239,203
Toronto C11,186,188,214,127,184
Toronto C12,175,167,198,205,184
Toronto C13,181,201,187,188,155
Toronto C14,190,229,200,235,170
Toronto C15,190,225,206,203,151
Toronto E01,221,225,234,198,194
Toronto E02,206,189,217,196,210
Toronto E03,204,211,198,-,158
Toronto E04,192,195,187,189,191
Toronto E05,187,207,200,195,159
Toronto E06,206,207,211,194,187
Toronto E07,198,226,213,202,170
Toronto E08,190,205,177,190,152
Toronto E09,179,197,184,183,158
Toronto E10,193,194,184,207,137
Toronto E11,184,201,196,154,158
