area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,162.9,173.6,183.6,201.0,137.2
Toronto W02,193.0,201.0,224.1,150.9,134.2
Toronto W03,191.6,195.4,199.8,-,132.1
Toronto W04,166.2,176.8,173.4,140.8,144.0
Toronto W05,152.8,169.9,157.2,148.4,123.0
Toronto W06,154.0,192.2,161.1,162.3,119.0
Toronto W07,171.6,178.1,166.5,135.8,110.2
Toronto W08,151.3,164.9,169.0,145.5,137.1
Toronto W09,164.3,175.0,165.2,157.6,146.3
Toronto W10,158.4,174.4,166.8,141.4,134.0
Toronto C01,188.3,193.3,202.7,186.4,185.3
Toronto C02,191.6,179.5,201.8,184.0,187.2
Toronto C03,200.4,196.0,205.8,-,202.7
Toronto C04,176.6,183.3,183.6,161.9,144.6
Toronto C06,183.7,191.6,166.1,0.0,174.2
Toronto C07,173.9,203.1,167.8,146.7,152.3
Toronto C08,176.5,158.2,191.2,179.3,175.8
Toronto C09,129.1,117.4,135.5,172.1,136.9
Toronto C10,191.2,189.1,185.8,223.3,193.1
Toronto C11,170.4,163.1,183.2,116.2,178.2
Toronto C12,164.1,158.0,181.8,179.4,175.8
Toronto C13,166.7,182.8,168.9,165.8,147.1
Toronto C14,182.4,217.4,191.6,217.8,165.5
Toronto C15,177.7,212.7,193.8,191.6,137.9
Toronto E01,213.8,211.5,227.6,205.7,186.8
Toronto E02,191.3,174.9,200.8,203.2,192.3
Toronto E03,180.0,182.4,180.6,-,147.1
Toronto E04,181.5,189.4,179.8,176.3,176.0
Toronto E05,176.0,198.8,196.7,177.2,147.1
Toronto E06,186.0,185.8,185.7,-,182.0
Toronto E07,190.9,213.8,206.9,197.4,162.7
Toronto E08,175.8,187.1,155.2,174.1,147.2
Toronto E09,171.9,189.5,172.8,169.0,151.8
Toronto E10,188.0,189.3,182.7,193.1,139.0
Toronto E11,173.1,194.0,186.9,142.2,139.1
