area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,277.7,375.7,372.9,301.7,316.2
Toronto W02,362.3,377.6,411.7,385.2,375.8
Toronto W03,387.3,375.8,386.1,377.4,385.2
Toronto W04,358.9,339.1,336.8,316.1,510.6
Toronto W05,374.4,322.3,314.0,384.1,507.0
Toronto W06,347.3,383.9,367.0,384.6,338.0
Toronto W07,301.7,320.7,311.9,418.6,131.5
Toronto W08,249.2,303.1,320.1,331.6,292.1
Toronto W09,337.8,315.4,350.9,293.9,418.1
Toronto W10,354.1,318.2,339.4,407.4,464.8
Toronto C01,340.7,384.4,359.5,365.8,371.0
Toronto C02,331.8,319.9,353.6,287.8,314.5
Toronto C03,269.3,279.8,402.2,-,304.9
Toronto C04,308.0,329.0,367.0,-,317.9
Toronto C06,281.2,414.6,323.8,328.6,384.1
Toronto C07,298.4,482.6,341.3,309.2,336.9
Toronto C08,315.1,350.6,375.8,378.9,344.6
Toronto C09,281.6,258.5,273.9,307.0,332.5
Toronto C10,283.6,339.7,327.3,269.0,293.7
Toronto C11,341.8,309.6,319.3,430.3,371.1
Toronto C12,337.8,326.9,279.9,335.8,396.5
Toronto C13,292.5,332.4,322.3,390.4,296.6
Toronto C14,362.1,366.3,324.6,375.2,354.5
Toronto C15,296.6,382.5,298.5,379.6,349.6
Toronto E01,416.0,439.9,430.5,553.1,397.1
Toronto E02,403.1,405.4,399.6,447.9,346.4
Toronto E03,365.1,341.4,369.7,-,396.7
Toronto E04,411.7,378.6,368.2,380.0,456.5
Toronto E05,342.5,372.0,365.2,384.3,362.1
Toronto E06,392.3,409.5,408.4,390.2,381.2
Toronto E07,367.5,373.4,381.3,407.9,397.0
Toronto E08,362.0,350.2,349.8,382.2,412.3
Toronto E09,422.6,381.3,350.9,379.6,463.0
Toronto E10,352.9,359.2,345.7,379.7,305.2
Toronto E11,368.4,357.0,399.1,405.5,457.6
