area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,262.2,340.9,337.7,289.8,319.7
Toronto W02,351.8,368.5,402.9,357.5,368.3
Toronto W03,378.1,364.6,380.7,357.7,377.6
Toronto W04,345.3,332.8,331.0,304.2,467.2
Toronto W05,377.2,326.3,317.9,370.8,522.8
Toronto W06,326.6,369.1,352.3,361.5,310.0
Toronto W07,292.4,311.2,299.6,391.5,130.5
Toronto W08,239.5,288.4,304.6,316.9,283.8
Toronto W09,325.9,301.6,332.4,286.4,408.5
Toronto W10,342.3,316.3,332.1,389.7,429.4
Toronto C01,334.0,383.7,355.9,343.0,364.0
Toronto C02,314.9,318.8,334.7,273.3,289.4
Toronto C03,270.7,282.2,391.7,-,309.5
Toronto C04,294.8,315.9,357.2,-,302.3
Toronto C06,273.8,400.5,304.6,319.8,376.1
Toronto C07,293.3,479.1,342.6,298.2,326.5
Toronto C08,300.6,361.3,382.0,373.1,326.1
Toronto C09,250.1,221.5,237.9,276.1,319.3
Toronto C10,283.1,327.3,321.1,251.3,302.4
Toronto C11,305.3,267.1,271.8,418.4,368.1
Toronto C12,342.1,328.9,291.6,326.2,401.2
Toronto C13,300.8,345.4,337.0,380.9,293.9
Toronto C14,369.0,380.2,337.6,344.2,358.6
Toronto C15,296.3,387.3,305.8,359.2,343.2
Toronto E01,411.5,439.3,428.5,531.1,384.5
Toronto E02,404.3,411.8,396.4,426.5,351.7
Toronto E03,356.0,332.4,350.8,-,401.8
Toronto E04,408.9,379.0,365.6,389.8,431.1
Toronto E05,330.1,361.0,353.0,356.2,353.5
Toronto E06,375.8,388.6,379.4,399.8,389.9
Toronto E07,356.8,368.1,375.7,387.7,374.7
Toronto E08,341.5,335.4,324.1,388.6,367.4
Toronto E09,411.1,372.3,345.7,390.1,443.4
Toronto E10,327.8,329.2,315.0,387.7,296.0
Toronto E11,362.8,347.0,390.9,411.2,451.4
