area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,356.6,374.6,391.4,325.8,344.0
Toronto W02,445.3,423.6,482.2,469.6,412.4
Toronto W03,436.2,446.6,445.6,338.6,411.7
Toronto W04,403.3,388.7,383.5,347.3,431.1
Toronto W05,382.8,401.5,384.8,357.2,382.0
Toronto W06,341.1,439.0,386.6,415.0,285.0
Toronto W07,356.3,389.0,365.5,271.9,203.5
Toronto W08,344.0,358.3,378.1,394.1,324.8
Toronto W09,376.2,384.5,410.4,300.4,382.3
Toronto W10,443.3,421.4,403.8,481.5,460.3
Toronto C01,401.8,482.7,476.0,400.3,394.1
Toronto C02,375.1,364.8,374.6,355.0,373.8
Toronto C03,440.6,418.4,433.7,-,480.3
Toronto C04,359.7,374.7,392.2,-,299.7
Toronto C06,380.1,395.2,380.9,336.7,369.6
Toronto C07,400.7,426.7,351.0,338.1,395.3
Toronto C08,360.6,376.0,387.3,363.5,359.1
Toronto C09,306.0,318.6,321.8,339.5,288.1
Toronto C10,386.7,347.3,343.8,337.0,404.6
Toronto C11,420.8,394.6,426.2,353.0,434.8
Toronto C12,342.0,334.9,394.1,277.7,400.0
Toronto C13,376.3,375.8,368.1,336.8,377.1
Toronto C14,382.1,420.8,350.9,445.4,364.9
Toronto C15,403.2,400.1,348.6,394.1,409.9
Toronto E01,466.3,480.0,482.7,550.1,375.5
Toronto E02,426.0,376.4,453.0,416.8,390.3
Toronto E03,422.5,430.0,406.1,-,413.3
Toronto E04,423.8,420.2,440.8,394.6,440.1
Toronto E05,374.5,427.2,423.3,374.4,311.8
Toronto E06,428.4,437.5,439.4,420.6,385.3
Toronto E07,417.7,435.9,424.0,370.6,408.6
Toronto E08,424.1,420.5,383.2,416.8,431.8
Toronto E09,434.9,439.0,416.6,468.6,426.8
Toronto E10,465.2,455.6,462.4,523.0,390.5
Toronto E11,451.8,459.1,470.2,353.6,524.6
