area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,279.6,378.4,395.2,304.1,331.4
Toronto W02,340.1,375.4,410.4,502.7,341.4
Toronto W03,385.7,396.8,410.4,439.6,347.2
Toronto W04,362.9,374.0,352.6,352.9,421.7
Toronto W05,365.2,342.0,332.4,373.8,514.8
Toronto W06,316.7,384.3,350.8,336.8,297.0
Toronto W07,301.0,341.0,311.5,-,130.4
Toronto W08,263.4,323.6,328.2,307.6,324.4
Toronto W09,383.9,346.7,414.1,307.2,420.1
Toronto W10,371.7,337.5,344.7,408.5,451.6
Toronto C01,325.6,415.8,392.7,379.3,342.9
Toronto C02,254.1,287.1,314.5,301.2,297.5
Toronto C03,300.1,313.2,397.9,303.4,377.2
Toronto C04,310.6,341.9,356.8,-,355.7
Toronto C06,259.5,338.8,322.3,329.5,334.1
Toronto C07,329.3,371.6,332.1,334.1,360.0
Toronto C08,293.7,364.2,337.8,440.8,320.0
Toronto C09,273.7,254.7,270.9,258.0,350.8
Toronto C10,255.5,344.4,348.5,288.2,312.6
Toronto C11,320.5,296.0,299.7,518.8,371.8
Toronto C12,313.3,330.3,315.5,326.8,408.1
Toronto C13,321.4,358.7,334.0,374.2,285.4
Toronto C14,356.4,382.0,330.9,390.7,364.0
Toronto C15,300.3,397.7,351.7,387.4,332.9
Toronto E01,381.2,433.4,426.3,539.1,323.4
Toronto E02,362.4,381.5,394.9,368.8,350.3
Toronto E03,350.4,365.7,341.2,-,414.2
Toronto E04,396.4,382.1,388.7,349.2,472.5
Toronto E05,358.7,368.1,362.6,357.7,366.9
Toronto E06,381.7,397.0,386.3,362.5,401.0
Toronto E07,350.9,366.3,375.7,383.9,379.6
Toronto E08,383.0,372.6,348.3,365.9,378.3
Toronto E09,399.9,391.9,369.9,397.0,418.6
Toronto E10,355.7,367.0,353.0,436.2,298.2
Toronto E11,391.6,384.6,416.5,419.0,429.2
