area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,222.6,218.9,240.6,236.0,218.4
Toronto W02,257.6,248.8,283.4,260.3,243.4
Toronto W03,277.9,283.3,275.8,252.0,242.7
Toronto W04,246.6,255.1,233.2,221.4,236.0
Toronto W05,225.7,246.4,225.3,211.7,216.4
Toronto W06,199.0,267.1,219.6,299.2,159.1
Toronto W07,227.7,242.2,215.8,0.0,140.5
Toronto W08,206.0,209.7,209.3,238.8,200.8
Toronto W09,223.1,223.0,196.7,246.6,218.3
Toronto W10,242.5,249.5,250.4,209.2,242.5
Toronto C01,254.8,272.3,263.1,269.7,252.3
Toronto C02,254.7,236.8,271.8,270.8,244.0
Toronto C03,289.5,273.6,286.9,-,318.6
Toronto C04,246.9,251.9,252.6,326.6,218.9
Toronto C06,277.6,296.8,228.8,248.7,258.7
Toronto C07,266.5,335.5,245.1,246.2,225.2
Toronto C08,240.5,269.8,268.9,252.9,237.8
Toronto C09,169.4,134.2,149.7,268.2,192.7
Toronto C10,254.1,263.1,254.1,262.3,250.8
Toronto C11,241.1,203.7,231.6,218.7,272.5
Toronto C12,228.3,219.1,288.1,216.7,258.3
Toronto C13,253.9,291.0,257.7,245.2,218.0
Toronto C14,262.1,329.6,276.6,329.7,232.8
Toronto C15,257.3,326.3,276.9,291.0,213.3
Toronto E01,307.0,305.5,311.4,374.9,273.0
Toronto E02,271.1,236.1,283.9,309.8,249.4
Toronto E03,252.7,261.9,243.4,-,217.8
Toronto E04,254.0,250.5,258.1,245.0,266.2
Toronto E05,255.8,273.2,267.1,272.6,224.4
Toronto E06,258.7,262.2,262.6,267.9,228.1
Toronto E07,269.6,297.7,294.1,280.3,240.2
Toronto E08,252.7,252.0,227.2,251.5,254.8
Toronto E09,247.0,252.2,240.2,285.0,237.6
Toronto E10,269.8,261.3,256.8,316.5,234.1
Toronto E11,257.4,263.2,254.4,205.1,292.0
