area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,191.4,211.6,234.2,201.9,168.2
Toronto W02,229.3,240.3,275.3,181.0,171.1
Toronto W03,245.6,255.0,250.1,142.4,177.2
Toronto W04,219.0,232.8,217.0,179.9,195.6
Toronto W05,202.5,224.3,205.8,206.3,175.7
Toronto W06,188.8,269.3,211.3,225.2,140.4
Toronto W07,225.6,244.1,205.5,157.4,125.2
Toronto W08,188.0,208.9,201.6,179.8,170.9
Toronto W09,203.1,218.2,188.3,211.9,177.1
Toronto W10,208.1,227.1,227.9,179.6,189.6
Toronto C01,233.1,258.2,250.2,230.1,230.6
Toronto C02,237.7,214.8,252.8,227.1,231.0
Toronto C03,255.9,247.3,260.6,-,268.0
Toronto C04,233.4,241.2,238.3,208.0,194.7
Toronto C06,256.0,284.2,209.7,-,225.3
Toronto C07,236.0,314.7,230.1,196.2,187.2
Toronto C08,220.7,259.1,259.9,225.0,217.0
Toronto C09,151.2,135.0,145.3,177.2,162.3
Toronto C10,234.0,250.2,243.6,227.5,227.4
Toronto C11,217.4,202.0,225.2,148.8,231.9
Toronto C12,222.7,210.9,285.6,281.3,213.0
Toronto C13,235.4,283.4,256.0,251.0,184.3
Toronto C14,235.8,322.3,266.8,254.5,204.0
Toronto C15,230.8,326.5,278.3,248.3,168.0
Toronto E01,283.2,295.0,303.0,234.2,230.7
Toronto E02,255.3,220.3,266.8,281.3,248.9
Toronto E03,248.4,264.3,237.9,-,181.6
Toronto E04,237.8,257.0,250.4,204.7,209.3
Toronto E05,237.5,281.4,267.7,235.2,182.1
Toronto E06,250.4,255.0,255.9,214.2,210.3
Toronto E07,236.5,277.6,259.8,232.1,199.4
Toronto E08,229.8,245.9,219.7,211.9,205.9
Toronto E09,219.4,251.4,236.2,228.7,187.0
Toronto E10,239.2,237.7,224.9,255.9,192.9
Toronto E11,219.1,244.1,232.5,180.9,197.8
