area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,274.2,351.4,373.9,292.0,346.2
Toronto W02,378.8,432.5,461.5,514.0,346.7
Toronto W03,388.2,399.1,416.8,436.3,352.1
Toronto W04,358.9,367.6,336.0,343.8,410.7
Toronto W05,357.0,333.4,324.1,359.8,504.5
Toronto W06,308.0,383.3,338.1,341.9,277.1
Toronto W07,299.8,341.8,301.1,-,124.6
Toronto W08,263.0,317.0,319.7,314.9,322.5
Toronto W09,377.6,331.4,404.3,301.7,425.4
Toronto W10,363.4,321.0,324.0,396.8,446.3
Toronto C01,303.5,404.9,382.1,374.8,314.4
Toronto C02,264.3,282.6,304.2,318.4,324.5
Toronto C03,308.1,327.9,419.4,310.8,330.9
Toronto C04,300.9,329.1,331.9,-,330.8
Toronto C06,259.3,341.1,309.5,321.0,312.2
Toronto C07,319.6,361.7,322.6,323.2,343.2
Toronto C08,292.4,391.6,355.7,407.9,315.4
Toronto C09,270.6,234.3,251.6,286.5,375.9
Toronto C10,244.5,349.6,349.2,312.4,287.6
Toronto C11,305.5,273.7,270.3,506.2,364.5
Toronto C12,296.2,314.9,308.3,318.2,351.8
Toronto C13,313.3,347.0,328.2,361.7,280.6
Toronto C14,329.6,369.6,314.0,373.0,324.7
Toronto C15,288.9,376.8,335.4,386.9,316.9
Toronto E01,362.8,422.3,404.4,499.9,320.5
Toronto E02,361.7,379.5,391.5,333.4,355.7
Toronto E03,355.9,369.7,344.8,-,422.3
Toronto E04,405.1,393.8,375.4,372.1,464.8
Toronto E05,359.9,377.4,369.1,354.5,354.8
Toronto E06,370.4,384.1,362.7,388.4,399.0
Toronto E07,347.1,373.1,377.4,364.1,362.5
Toronto E08,378.1,368.4,318.5,398.3,354.7
Toronto E09,396.4,389.2,362.0,377.0,394.7
Toronto E10,347.9,358.0,342.4,395.5,280.2
Toronto E11,387.9,385.5,409.0,405.0,426.1
