area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,270.8,368.9,375.3,253.3,309.6
Toronto W02,363.2,412.5,444.1,340.2,317.4
Toronto W03,377.3,381.3,401.2,379.9,361.9
Toronto W04,337.9,354.1,341.0,312.3,369.1
Toronto W05,316.6,332.6,315.1,330.8,458.8
Toronto W06,288.6,356.7,328.9,356.3,249.0
Toronto W07,268.3,306.0,287.7,-,119.1
Toronto W08,244.5,279.4,306.5,298.0,326.2
Toronto W09,317.8,298.1,351.8,268.2,400.1
Toronto W10,344.4,333.3,335.8,379.1,383.6
Toronto C01,277.4,391.9,383.5,340.1,269.3
Toronto C02,260.8,284.7,322.4,347.2,265.9
Toronto C03,300.1,325.4,410.3,335.8,261.8
Toronto C04,284.6,311.6,319.0,-,301.5
Toronto C06,266.6,334.3,313.2,299.4,298.7
Toronto C07,309.7,342.4,304.9,297.5,294.0
Toronto C08,259.9,369.2,330.5,379.1,271.4
Toronto C09,243.1,241.4,262.9,257.6,266.0
Toronto C10,225.6,307.9,322.1,295.9,257.8
Toronto C11,295.3,264.8,291.0,414.1,307.2
Toronto C12,277.9,295.4,271.7,290.0,326.3
Toronto C13,291.4,327.4,317.6,342.5,252.8
Toronto C14,307.8,328.2,291.2,345.0,281.4
Toronto C15,281.6,345.2,316.9,367.1,308.3
Toronto E01,359.3,414.2,407.7,460.8,300.0
Toronto E02,355.2,379.6,382.4,331.8,277.3
Toronto E03,340.9,367.8,332.8,-,337.3
Toronto E04,338.6,333.8,339.0,327.3,402.8
Toronto E05,311.4,335.6,336.6,326.9,313.8
Toronto E06,318.1,335.7,337.4,343.2,329.2
Toronto E07,310.0,344.4,352.9,394.3,331.5
Toronto E08,324.1,326.5,321.8,343.0,340.7
Toronto E09,375.6,358.0,331.6,371.6,360.9
Toronto E10,334.6,349.3,336.5,397.7,284.2
Toronto E11,336.4,344.3,374.9,392.9,398.8
