district,counts
E01,729
W01,678
E02,470
C09,68
W02,911
E09,213
C15,520
E06,184
C02,906
W03,491
C14,635
C11,127
C10,314
W04,479
C03,356
W06,471
E03,547
C13,310
C07,542
W07,126
E07,221
C12,80
C04,285
W08,543
C06,175
E08,205
E05,330
E04,470
W05,621
W10,211
E11,173
W09,188
E10,202
