district,counts
C02,915
C01,7162
W06,479
W05,628
E06,186
C03,363
W02,920
E04,481
W09,190
E03,558
C08,1615
C07,547
W08,537
E08,208
E01,735
W01,679
C15,514
W03,474
C13,311
C10,314
C14,644
C09,70
E02,472
E09,215
C11,129
W04,482
W07,125
C06,189
E07,219
C12,81
C04,291
E05,318
W10,219
E11,177
E10,213
