district,counts
C14,646
C02,928
W06,490
W03,478
E03,569
W01,684
E08,208
W05,626
W08,538
C06,196
W04,487
C12,84
E04,479
W02,932
E07,230
C11,130
C03,367
C10,315
E10,212
C15,523
C07,550
E06,191
E01,743
E02,465
C09,73
E09,220
E11,182
W09,186
C04,298
W07,122
W10,222
E05,317
C13,310
