district,counts
E01,721
W01,668
E02,465
C09,67
C08,1617
W02,916
E09,204
C15,519
E06,184
C02,909
C14,629
C11,126
C10,306
W04,464
C03,363
W06,474
E03,550
C07,528
C13,305
W03,480
E07,221
C12,79
C04,272
W08,540
W07,129
C06,169
E08,201
E05,328
E04,457
W05,602
W10,210
E11,170
W09,190
E10,207
