district,counts
C08,1634
C02,919
C15,528
E11,179
C11,134
E03,573
E07,231
W07,123
W02,942
W01,685
W05,620
E01,742
W04,492
C07,545
W06,486
E04,469
W08,526
W03,494
C03,371
C14,676
W09,191
E02,475
E05,326
E10,205
E06,198
C10,316
C13,313
E08,218
C06,189
W10,222
C09,71
C04,291
E09,221
C12,85
