area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,267.0,250.2,267.5,264.6,273.8
Toronto W02,291.3,275.0,312.6,276.3,302.7
Toronto W03,293.5,293.6,285.8,276.6,302.8
Toronto W04,264.6,257.2,244.7,238.5,279.8
Toronto W05,257.2,253.6,234.2,253.0,284.7
Toronto W06,222.1,282.3,226.8,292.2,191.9
Toronto W07,243.7,257.4,222.5,-,159.9
Toronto W08,231.1,218.8,214.5,255.8,239.4
Toronto W09,252.9,238.4,211.7,289.6,264.0
Toronto W10,263.4,258.7,260.8,231.2,274.2
Toronto C01,311.1,310.5,295.7,283.1,312.7
Toronto C02,276.0,242.7,275.1,273.2,279.6
Toronto C03,307.6,285.2,304.0,-,343.5
Toronto C04,245.8,244.9,251.1,0.0,241.5
Toronto C06,283.8,257.2,215.5,249.6,310.1
Toronto C07,263.2,285.8,201.1,250.2,254.8
Toronto C08,289.2,283.5,279.1,285.0,289.8
Toronto C09,193.8,142.5,156.7,295.8,221.5
Toronto C10,287.9,258.2,240.3,277.6,303.3
Toronto C11,272.7,211.3,246.4,221.0,319.1
Toronto C12,220.8,203.6,256.8,199.3,280.1
Toronto C13,254.2,244.8,219.7,235.8,264.4
Toronto C14,273.6,264.3,213.4,299.9,273.2
Toronto C15,248.1,277.8,227.5,271.6,236.7
Toronto E01,348.1,335.3,347.9,395.5,339.7
Toronto E02,297.2,256.6,314.1,322.3,284.1
Toronto E03,272.0,276.0,257.4,-,274.2
Toronto E04,272.9,254.1,266.1,260.6,312.1
Toronto E05,251.2,257.1,246.8,254.9,244.4
Toronto E06,274.3,271.1,271.7,0.0,283.5
Toronto E07,270.0,270.0,260.0,267.5,272.7
Toronto E08,275.1,257.8,229.4,275.2,307.6
Toronto E09,263.9,254.8,244.2,295.5,268.9
Toronto E10,266.4,252.5,248.1,318.0,267.8
Toronto E11,277.1,276.6,275.7,220.9,320.3
