area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,247.9,237.5,253.6,252.6,249.6
Toronto W02,280.3,269.4,310.4,269.5,271.7
Toronto W03,282.9,284.8,278.7,264.6,273.4
Toronto W04,255.8,253.5,243.8,225.8,264.6
Toronto W05,241.8,246.1,225.4,241.6,254.6
Toronto W06,209.3,262.9,209.1,295.3,180.3
Toronto W07,225.7,239.6,206.5,-,149.3
Toronto W08,216.7,205.4,198.0,252.2,223.7
Toronto W09,236.8,222.4,195.9,268.4,250.0
Toronto W10,240.1,239.4,248.0,221.7,244.3
Toronto C01,291.2,294.9,280.7,277.4,291.7
Toronto C02,258.1,227.4,262.2,264.4,258.8
Toronto C03,287.3,265.5,284.2,-,322.1
Toronto C04,243.9,246.7,242.9,0.0,229.4
Toronto C06,269.3,248.9,211.0,242.7,290.6
Toronto C07,252.1,278.3,200.8,239.6,241.4
Toronto C08,269.0,286.3,285.6,296.5,266.8
Toronto C09,182.0,132.6,145.5,285.4,207.9
Toronto C10,274.9,258.8,245.0,263.6,285.1
Toronto C11,262.6,200.6,232.3,225.0,309.8
Toronto C12,215.7,197.9,248.3,202.3,272.2
Toronto C13,241.0,241.7,221.3,237.1,240.2
Toronto C14,264.3,266.6,215.8,317.3,259.1
Toronto C15,240.8,273.2,222.9,282.2,222.9
Toronto E01,335.1,323.5,334.1,406.4,320.3
Toronto E02,279.4,240.4,292.2,334.0,257.5
Toronto E03,261.9,268.1,251.8,-,246.9
Toronto E04,259.2,235.5,243.1,246.6,309.6
Toronto E05,240.3,240.6,232.8,249.8,236.5
Toronto E06,260.5,262.1,264.2,0.0,248.3
Toronto E07,260.4,265.6,255.1,262.4,258.0
Toronto E08,265.9,251.1,225.4,261.1,294.8
Toronto E09,250.6,243.1,229.1,277.2,255.3
Toronto E10,254.0,240.8,235.3,300.7,267.3
Toronto E11,260.8,258.1,251.7,206.0,315.1
