area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,317.8,334.8,356.7,289.5,303.0
Toronto W02,377.0,356.5,405.6,407.6,353.3
Toronto W03,370.6,377.2,381.5,292.2,349.7
Toronto W04,348.7,328.5,325.6,304.6,382.2
Toronto W05,320.4,324.5,309.3,321.8,329.7
Toronto W06,286.7,375.2,345.4,354.1,233.6
Toronto W07,306.9,326.5,323.8,273.3,180.7
Toronto W08,293.5,306.6,333.9,338.5,276.0
Toronto W09,320.6,329.9,360.8,260.8,322.4
Toronto W10,358.4,339.3,340.1,392.4,372.2
Toronto C01,347.0,395.1,391.1,343.5,342.5
Toronto C02,317.6,303.7,325.1,316.3,312.9
Toronto C03,365.7,351.2,364.5,-,384.4
Toronto C04,296.3,305.0,303.8,-,260.5
Toronto C06,326.4,327.8,314.0,298.6,326.9
Toronto C07,333.4,360.3,289.9,301.2,324.5
Toronto C08,305.9,315.7,331.3,336.0,303.2
Toronto C09,256.1,261.8,261.1,302.2,243.4
Toronto C10,312.2,305.9,302.3,288.6,317.5
Toronto C11,362.6,322.7,350.7,320.1,386.2
Toronto C12,280.5,277.6,342.1,251.8,302.8
Toronto C13,323.0,331.9,318.0,299.6,315.0
Toronto C14,317.6,364.7,285.2,333.9,304.4
Toronto C15,328.3,342.5,291.1,336.7,324.7
Toronto E01,401.9,409.0,417.9,501.7,308.3
Toronto E02,359.4,320.9,380.5,387.6,313.5
Toronto E03,350.0,358.4,336.0,-,328.8
Toronto E04,346.3,329.6,346.3,301.1,396.1
Toronto E05,312.6,333.6,328.0,339.8,275.3
Toronto E06,343.0,350.7,347.4,325.9,308.6
Toronto E07,347.9,351.6,345.1,353.5,341.8
Toronto E08,347.5,331.9,297.7,320.6,382.1
Toronto E09,340.2,337.1,324.2,364.4,341.1
Toronto E10,357.3,343.7,350.1,402.9,336.5
Toronto E11,375.1,361.2,374.6,299.8,462.9
