area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,304.6,298.2,324.5,300.1,302.9
Toronto W02,365.2,348.1,393.7,393.1,349.2
Toronto W03,372.8,381.0,374.1,272.1,345.1
Toronto W04,338.4,326.5,316.2,279.6,364.6
Toronto W05,320.0,323.9,297.3,298.4,356.0
Toronto W06,281.5,369.0,300.2,335.5,234.4
Toronto W07,304.5,327.5,285.9,248.7,186.5
Toronto W08,280.2,280.5,280.1,324.4,275.4
Toronto W09,310.5,311.9,275.3,327.1,306.7
Toronto W10,344.3,336.0,338.6,400.1,343.4
Toronto C01,342.1,358.9,349.4,330.9,340.7
Toronto C02,317.2,292.8,326.8,308.6,313.1
Toronto C03,371.4,353.0,381.7,-,390.8
Toronto C04,284.9,291.7,307.4,-,248.9
Toronto C06,331.0,320.3,267.5,294.4,345.4
Toronto C07,305.9,343.1,247.5,296.0,287.0
Toronto C08,305.9,326.1,343.2,329.4,302.5
Toronto C09,221.8,176.3,187.3,300.5,246.5
Toronto C10,317.0,301.8,292.2,284.8,326.2
Toronto C11,327.4,264.9,303.9,287.4,374.1
Toronto C12,260.1,242.5,336.1,238.0,309.9
Toronto C13,308.9,307.7,292.7,279.3,312.9
Toronto C14,304.8,312.0,246.0,345.7,298.7
Toronto C15,295.7,339.3,284.6,323.3,276.3
Toronto E01,420.5,421.6,430.9,479.8,372.9
Toronto E02,356.7,318.7,391.3,370.5,283.8
Toronto E03,344.8,355.6,333.3,-,315.4
Toronto E04,352.7,338.4,353.0,304.3,399.2
Toronto E05,318.8,332.8,323.1,323.5,301.5
Toronto E06,347.5,364.8,362.6,-,270.0
Toronto E07,333.6,338.0,329.3,329.9,331.6
Toronto E08,352.3,343.7,308.2,351.9,369.1
Toronto E09,335.5,339.0,327.3,363.1,328.8
Toronto E10,349.5,338.7,346.5,394.0,313.9
Toronto E11,358.1,356.2,366.2,283.7,423.2
