area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,278.8,269.3,287.8,280.4,280.3
Toronto W02,331.7,312.3,351.8,366.9,323.8
Toronto W03,337.7,343.8,337.9,263.6,314.6
Toronto W04,316.8,297.4,287.0,261.2,351.1
Toronto W05,289.3,289.0,267.1,289.2,310.5
Toronto W06,256.3,330.7,266.5,319.3,213.7
Toronto W07,275.3,294.5,255.1,230.3,167.4
Toronto W08,252.7,251.4,245.7,312.3,247.9
Toronto W09,287.7,283.0,239.0,304.3,294.0
Toronto W10,312.8,302.1,306.9,359.4,315.0
Toronto C01,309.7,323.0,314.3,304.5,308.4
Toronto C02,292.9,271.2,299.7,299.4,288.6
Toronto C03,343.0,325.1,345.9,-,367.1
Toronto C04,265.5,270.4,270.1,-,244.8
Toronto C06,291.2,293.4,249.7,282.3,291.8
Toronto C07,279.6,316.1,222.7,284.3,259.9
Toronto C08,280.3,292.4,302.7,303.4,277.8
Toronto C09,194.2,152.8,166.0,268.4,216.7
Toronto C10,293.3,287.3,279.0,266.5,298.9
Toronto C11,296.5,229.8,262.3,272.6,345.8
Toronto C12,241.8,215.2,294.8,229.7,302.4
Toronto C13,281.2,271.9,254.2,275.8,289.5
Toronto C14,283.5,286.9,223.5,330.0,277.9
Toronto C15,271.5,310.7,258.6,306.3,252.6
Toronto E01,375.8,370.8,379.0,437.8,348.1
Toronto E02,311.3,274.8,335.9,345.7,265.0
Toronto E03,304.5,313.3,288.5,-,287.7
Toronto E04,323.8,300.9,319.9,284.7,380.8
Toronto E05,290.2,298.7,290.4,295.5,279.4
Toronto E06,314.2,328.1,333.4,-,248.1
Toronto E07,305.3,306.4,298.7,305.2,304.9
Toronto E08,322.2,308.3,279.9,327.1,347.9
Toronto E09,304.5,302.2,296.8,336.5,303.0
Toronto E10,312.0,296.8,297.4,370.3,295.9
Toronto E11,326.5,321.9,330.2,263.0,385.9
