area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,337.5,363.1,379.5,289.4,322.3
Toronto W02,399.5,376.5,424.3,422.6,385.5
Toronto W03,392.5,399.4,401.5,302.8,381.4
Toronto W04,365.6,348.2,338.9,310.8,399.1
Toronto W05,341.2,348.2,335.9,325.5,355.0
Toronto W06,315.5,402.7,365.0,372.7,264.8
Toronto W07,325.6,351.3,343.6,255.7,186.2
Toronto W08,312.6,326.7,356.1,359.5,293.8
Toronto W09,335.1,351.6,386.6,266.4,327.0
Toronto W10,387.9,361.7,356.5,425.3,408.8
Toronto C01,379.3,448.7,444.7,349.8,374.0
Toronto C02,347.0,328.6,341.9,328.7,349.1
Toronto C03,398.6,380.5,393.0,-,428.5
Toronto C04,324.2,334.6,349.5,-,279.1
Toronto C06,351.2,354.7,343.7,312.8,350.3
Toronto C07,368.0,392.6,324.2,313.8,362.9
Toronto C08,338.4,349.5,361.6,339.9,336.9
Toronto C09,283.8,285.8,287.1,315.7,274.7
Toronto C10,347.8,325.2,322.2,307.4,359.4
Toronto C11,386.4,350.7,380.7,328.0,407.3
Toronto C12,309.5,304.5,358.7,263.5,351.0
Toronto C13,347.9,342.1,334.8,321.9,351.3
Toronto C14,346.9,397.0,325.8,366.5,331.7
Toronto C15,359.6,359.8,310.9,355.9,364.1
Toronto E01,427.7,437.9,445.4,503.1,337.4
Toronto E02,384.3,339.7,404.3,395.5,355.0
Toronto E03,374.3,377.8,357.9,-,378.2
Toronto E04,377.7,371.1,379.1,325.9,410.3
Toronto E05,337.9,369.1,359.9,352.5,294.1
Toronto E06,384.5,393.0,389.0,351.5,348.5
Toronto E07,373.8,386.5,369.6,356.0,367.7
Toronto E08,377.7,374.1,335.9,343.0,393.3
Toronto E09,379.9,385.5,365.0,405.1,371.5
Toronto E10,396.8,384.0,386.4,450.1,353.8
Toronto E11,393.1,390.2,398.9,306.5,472.7
