area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,162.0,161.5,171.0,204.9,141.2
Toronto W02,174.8,173.0,196.5,134.7,115.5
Toronto W03,153.7,154.0,158.6,-,129.8
Toronto W04,136.8,145.0,143.4,139.6,118.1
Toronto W05,135.1,141.2,133.2,116.4,137.9
Toronto W06,147.5,164.5,154.3,158.4,130.4
Toronto W07,149.1,157.3,154.3,131.9,101.3
Toronto W08,137.4,148.9,157.7,139.5,123.1
Toronto W09,138.5,151.8,136.2,141.3,118.9
Toronto W10,133.1,142.4,141.3,106.7,124.4
Toronto C01,178.0,194.8,194.1,168.1,175.4
Toronto C02,163.3,148.7,161.0,176.9,165.7
Toronto C03,160.2,156.8,163.6,-,166.6
Toronto C04,153.0,155.6,155.6,148.9,141.8
Toronto C06,155.5,157.6,152.3,136.0,153.0
Toronto C07,152.3,163.1,150.4,128.5,147.4
Toronto C08,157.5,150.7,153.1,161.2,158.5
Toronto C09,123.3,120.1,135.5,167.8,120.6
Toronto C10,170.6,149.2,157.0,224.0,176.4
Toronto C11,129.3,145.3,157.0,105.2,114.7
Toronto C12,146.4,139.1,154.9,143.5,167.7
Toronto C13,145.3,150.6,147.3,137.4,139.6
Toronto C14,161.6,170.6,170.9,184.6,156.6
Toronto C15,153.7,169.1,156.3,159.4,137.1
Toronto E01,181.2,179.0,185.1,188.0,175.6
Toronto E02,162.6,157.9,168.7,150.6,158.7
Toronto E03,156.7,160.1,154.9,-,132.1
Toronto E04,150.7,153.8,151.8,155.9,151.0
Toronto E05,142.3,155.0,153.3,143.7,128.9
Toronto E06,164.0,164.5,167.0,-,145.0
Toronto E07,147.8,153.9,154.6,147.6,132.7
Toronto E08,144.5,156.8,148.1,149.8,119.7
Toronto E09,137.9,146.8,142.0,131.9,129.0
Toronto E10,146.8,149.6,151.0,138.6,102.2
Toronto E11,143.0,154.9,145.9,113.2,132.9
