area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,282.4,371.4,384.8,304.9,350.6
Toronto W02,376.8,427.3,462.0,552.8,376.1
Toronto W03,420.2,429.6,444.6,466.1,365.3
Toronto W04,389.3,405.0,374.7,357.1,447.6
Toronto W05,382.9,355.0,349.4,404.0,535.2
Toronto W06,339.4,415.3,378.6,338.2,321.6
Toronto W07,329.1,353.6,335.2,418.7,140.7
Toronto W08,271.2,333.2,344.7,307.0,348.3
Toronto W09,390.7,345.8,407.7,304.7,447.3
Toronto W10,394.4,367.0,372.3,415.3,489.5
Toronto C01,351.3,420.4,404.7,406.2,373.7
Toronto C02,282.1,299.3,326.3,341.5,347.3
Toronto C03,315.3,333.2,418.7,360.4,330.4
Toronto C04,333.3,359.1,358.6,-,339.4
Toronto C06,286.4,383.4,348.4,325.9,378.1
Toronto C07,350.4,407.8,360.9,326.1,365.0
Toronto C08,332.2,403.3,375.7,468.8,360.8
Toronto C09,316.3,301.4,326.4,320.4,348.1
Toronto C10,287.6,371.6,381.5,330.8,328.1
Toronto C11,368.5,356.7,368.5,540.2,407.3
Toronto C12,326.8,344.1,366.2,360.2,374.0
Toronto C13,348.4,391.1,353.4,394.7,303.1
Toronto C14,371.8,420.2,362.8,398.4,366.0
Toronto C15,318.3,407.5,360.7,417.8,346.8
Toronto E01,403.9,456.0,445.9,533.3,357.7
Toronto E02,385.8,391.4,423.1,372.8,381.7
Toronto E03,403.8,419.3,390.6,-,446.5
Toronto E04,426.9,415.5,402.7,391.1,507.8
Toronto E05,394.3,402.5,399.5,391.9,378.0
Toronto E06,396.5,404.6,390.0,412.8,443.5
Toronto E07,384.4,403.3,412.2,432.7,397.7
Toronto E08,402.1,393.6,361.1,400.2,373.8
Toronto E09,422.9,428.5,397.4,427.8,441.6
Toronto E10,373.3,387.1,369.0,454.2,318.8
Toronto E11,434.0,421.2,456.0,455.3,446.2
