district,counts
E01,737
E02,491
E06,190
E03,546
W01,669
E04,496
W02,912
C09,83
E09,213
C15,569
C02,919
W03,496
C10,299
C14,642
C07,530
C11,133
C03,384
W04,485
W06,499
W08,519
C13,318
W07,120
E07,250
C06,203
C12,89
C04,302
E08,216
E05,327
W05,659
W10,235
E11,170
E10,203
W09,190
