district,counts
W01,700
C01,7170
E02,492
C08,1583
E01,755
C09,74
W02,939
C02,924
E03,562
C07,549
C11,133
C03,373
C10,321
C14,672
W06,497
W08,532
E09,225
E06,202
W03,509
W04,484
C15,549
C13,316
C06,207
E08,209
E07,243
C12,94
C04,294
W07,120
E05,324
E04,476
W05,635
W10,233
E11,177
E10,210
W09,188
