district,counts
E08,215
C11,133
E04,485
E01,737
E05,318
W05,612
C08,1540
W06,495
C10,296
C02,912
E02,486
E03,546
W01,663
C13,311
E10,208
E06,192
C14,645
C15,574
E09,210
W04,483
E07,253
W02,914
W03,484
C07,528
C03,383
C04,295
E11,161
W08,513
W10,238
C12,92
C06,203
W09,186
C09,84
W07,121
