district,counts
E01,712
W01,655
E02,485
E04,476
C09,83
W02,887
E09,207
E06,175
C02,907
W03,477
C10,297
C14,650
E03,552
C11,133
W04,453
C03,380
W06,492
C15,569
W10,240
C07,533
W08,508
C13,304
E07,228
C12,88
C04,291
W07,124
C06,209
E08,199
E05,303
W05,577
E11,159
E10,213
W09,186
