district,counts
C01,7063
E01,760
W01,686
E02,494
C09,75
C08,1563
W02,926
E09,216
E06,197
C02,914
W03,509
C10,312
C14,674
C11,133
W04,494
C03,368
W06,493
W08,533
C13,235
E03,557
C15,575
C07,541
E07,241
C12,88
C04,297
W07,119
C06,207
E08,211
E05,320
E04,456
W05,641
W10,246
E11,178
E10,206
W09,192
