district,counts
E01,751
W01,705
E02,474
C09,96
W02,939
E09,229
E06,199
C02,918
W03,504
C14,680
C11,130
C10,317
W04,485
C03,374
W06,486
E03,573
C15,551
C07,552
W08,542
C13,318
E07,239
C12,92
C04,293
W07,124
C06,199
E08,221
E05,324
E04,471
W05,641
W10,232
W09,195
E11,179
E10,196
