area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,155.7,153.8,161.1,210.7,138.9
Toronto W02,182.7,180.1,206.4,140.0,124.8
Toronto W03,164.3,167.4,169.5,-,126.8
Toronto W04,144.7,151.9,146.2,141.6,127.9
Toronto W05,140.8,151.4,141.2,135.7,126.7
Toronto W06,145.1,169.9,147.4,154.6,122.6
Toronto W07,154.7,161.3,149.6,132.9,110.9
Toronto W08,141.3,151.2,158.4,138.7,129.0
Toronto W09,144.3,158.3,143.9,140.5,123.3
Toronto W10,137.9,150.6,146.7,128.4,119.5
Toronto C01,177.9,182.8,190.3,167.2,176.1
Toronto C02,170.0,154.7,171.2,162.5,172.7
Toronto C03,172.6,170.5,178.4,-,168.7
Toronto C04,152.0,158.6,160.5,153.5,122.3
Toronto C06,163.5,167.5,144.5,146.8,159.5
Toronto C07,157.6,174.9,156.2,137.0,146.5
Toronto C08,164.5,151.4,169.0,177.2,164.3
Toronto C09,123.9,116.6,136.9,151.4,128.0
Toronto C10,183.8,166.9,170.5,202.3,191.9
Toronto C11,149.5,154.0,175.4,114.0,145.2
Toronto C12,148.1,140.1,165.6,153.2,170.2
Toronto C13,149.7,157.7,149.3,143.7,140.5
Toronto C14,169.7,184.6,185.4,212.7,161.0
Toronto C15,158.1,174.2,160.1,169.9,138.7
Toronto E01,187.3,182.5,192.4,208.5,177.8
Toronto E02,174.1,162.3,182.4,162.3,163.7
Toronto E03,158.5,160.4,160.9,-,125.4
Toronto E04,161.2,165.8,164.2,160.0,159.0
Toronto E05,149.6,165.0,161.9,151.7,131.6
Toronto E06,168.7,170.9,175.5,-,147.0
Toronto E07,161.5,174.7,167.8,157.9,144.4
Toronto E08,153.3,164.6,149.3,155.6,129.4
Toronto E09,150.3,159.8,151.1,140.8,140.5
Toronto E10,156.8,159.3,156.3,155.2,123.1
Toronto E11,147.0,163.4,158.3,115.0,127.9
