area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,163.0,162.2,172.9,210.1,142.1
Toronto W02,180.3,179.0,203.2,139.4,122.6
Toronto W03,164.8,167.3,170.9,-,127.9
Toronto W04,144.5,151.7,147.0,145.2,127.6
Toronto W05,140.1,148.5,139.2,140.2,128.6
Toronto W06,147.7,170.4,153.1,152.8,126.6
Toronto W07,154.3,161.0,154.7,122.9,104.6
Toronto W08,138.8,148.4,158.6,134.4,126.7
Toronto W09,142.7,151.7,137.5,143.2,129.0
Toronto W10,138.8,150.4,148.6,122.3,123.5
Toronto C01,182.8,189.0,195.1,168.1,181.3
Toronto C02,168.5,156.5,179.6,164.1,163.6
Toronto C03,172.6,168.2,179.4,-,177.7
Toronto C04,154.5,158.8,156.0,152.7,136.5
Toronto C06,163.3,166.1,146.7,142.6,161.3
Toronto C07,156.0,173.2,156.6,135.3,145.1
Toronto C08,164.2,160.2,163.8,180.1,164.0
Toronto C09,125.2,117.2,135.8,150.5,129.8
Toronto C10,179.5,160.3,166.8,209.5,187.0
Toronto C11,145.7,148.2,166.6,115.3,142.1
Toronto C12,149.0,141.2,162.3,151.4,173.5
Toronto C13,149.7,158.0,147.3,148.1,141.5
Toronto C14,169.7,185.7,183.6,207.5,160.9
Toronto C15,156.5,175.1,165.2,164.4,134.8
Toronto E01,184.7,179.1,189.3,215.9,177.3
Toronto E02,168.7,158.7,176.4,170.0,165.3
Toronto E03,157.9,159.2,161.0,-,130.1
Toronto E04,157.1,162.7,159.1,159.7,154.1
Toronto E05,149.9,166.0,162.4,152.5,130.9
Toronto E06,172.0,172.6,182.1,-,153.9
Toronto E07,162.1,170.7,164.9,158.9,151.1
Toronto E08,151.7,163.6,155.8,155.2,123.8
Toronto E09,147.5,158.2,149.5,141.9,136.1
Toronto E10,155.9,158.0,158.0,155.2,118.0
Toronto E11,144.2,162.3,155.2,113.5,117.5
