area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,231.3,230.2,248.6,239.9,226.8
Toronto W02,262.3,251.4,287.3,255.2,257.6
Toronto W03,276.9,280.0,275.8,253.4,252.3
Toronto W04,248.3,250.1,242.2,219.5,250.3
Toronto W05,233.2,242.6,223.3,221.8,243.2
Toronto W06,203.0,266.9,219.9,267.4,170.5
Toronto W07,226.4,240.2,214.4,0.0,144.9
Toronto W08,210.5,210.5,209.7,218.3,210.1
Toronto W09,225.9,225.1,199.3,251.2,221.0
Toronto W10,238.3,246.5,248.0,208.5,236.2
Toronto C01,277.3,279.0,271.7,263.7,277.4
Toronto C02,250.1,224.8,258.0,267.7,246.8
Toronto C03,290.8,269.8,288.8,-,328.5
Toronto C04,245.2,246.5,243.9,296.6,233.8
Toronto C06,271.4,261.6,223.3,238.4,284.5
Toronto C07,255.9,292.7,212.2,235.2,237.6
Toronto C08,259.5,257.7,254.2,259.1,259.7
Toronto C09,177.0,139.9,156.6,275.5,198.4
Toronto C10,260.2,245.8,235.9,256.8,270.0
Toronto C11,253.4,213.1,237.7,219.9,287.7
Toronto C12,219.1,200.4,254.5,217.8,270.6
Toronto C13,239.5,253.1,226.4,247.7,226.7
Toronto C14,262.7,288.1,228.6,306.1,251.6
Toronto C15,245.6,299.0,247.0,268.9,218.6
Toronto E01,312.4,307.2,315.0,360.9,292.9
Toronto E02,276.5,243.8,291.4,296.1,250.1
Toronto E03,261.1,271.3,252.4,-,224.7
Toronto E04,251.5,242.4,248.2,233.3,276.9
Toronto E05,245.3,252.2,243.1,246.7,237.1
Toronto E06,252.5,254.6,256.6,230.1,235.1
Toronto E07,256.8,263.6,251.8,255.3,252.7
Toronto E08,252.6,247.2,221.5,245.4,266.0
Toronto E09,242.7,239.6,229.4,266.3,243.0
Toronto E10,247.6,237.8,226.8,295.6,241.7
Toronto E11,258.4,264.0,258.5,199.8,295.1
